x[m],z[m],|B|
0.0195959595959596,0.00447368421052632,1.50898013985948e-06
0.02,0.00447368421052632,1.39470002257378e-06
-0.02,0.005,1.98059478847895e-06
-0.0195959595959596,0.005,2.09226659030014e-06
-0.0191919191919192,0.005,2.21195728459794e-06
-0.0187878787878788,0.005,2.34032755367416e-06
-0.0183838383838384,0.005,2.47809341313721e-06
-0.017979797979798,0.005,2.62602964591827e-06
-0.0175757575757576,0.005,2.78497299536288e-06
-0.0171717171717172,0.005,2.95582493851213e-06
-0.0167676767676768,0.005,3.13955380853373e-06
-0.0163636363636364,0.005,3.33719597355686e-06
-0.015959595959596,0.005,3.5498557083024e-06
-0.0155555555555556,0.005,3.77870331679622e-06
-0.0151515151515152,0.005,4.02497098349914e-06
-0.0147474747474747,0.005,4.2899457545668e-06
-0.0143434343434343,0.005,4.57495899441074e-06
-0.0139393939393939,0.005,4.88137164670581e-06
-0.0135353535353535,0.005,5.21055468494046e-06
-0.0131313131313131,0.005,5.56386430889766e-06
-0.0127272727272727,0.005,5.94261178556585e-06
-0.0123232323232323,0.005,6.34802840972039e-06
-0.0119191919191919,0.005,6.78122693136319e-06
-0.0115151515151515,0.005,7.24316199678921e-06
-0.0111111111111111,0.005,7.73459363649156e-06
-0.0107070707070707,0.005,8.2560594215439e-06
-0.0103030303030303,0.005,8.8078621763403e-06
-0.0098989898989899,0.005,9.39008031752061e-06
-0.0094949494949495,0.005,1.00026058432136e-05
-0.00909090909090909,0.005,1.06452093270049e-05
-0.00868686868686869,0.005,1.13176208005396e-05
-0.00828282828282828,0.005,1.20196001616527e-05
-0.00787878787878788,0.005,1.27509534031683e-05
-0.00747474747474748,0.005,1.3511438238333e-05
-0.00707070707070707,0.005,1.43005053093636e-05
-0.00666666666666667,0.005,1.51168504892988e-05
-0.00626262626262626,0.005,1.59578144480963e-05
-0.00585858585858586,0.005,1.68187465382495e-05
-0.00545454545454545,0.005,1.76925208764762e-05
-0.00505050505050505,0.005,1.85694136015494e-05
-0.00464646464646465,0.005,1.9437495324671e-05
-0.00424242424242424,0.005,2.02835705695658e-05
-0.00383838383838384,0.005,2.10945526914687e-05
-0.00343434343434343,0.005,2.18590583184201e-05
-0.00303030303030303,0.005,2.25689794402295e-05
-0.00262626262626263,0.005,2.32208427660029e-05
-0.00222222222222222,0.005,2.38168578950384e-05
-0.00181818181818182,0.005,2.43656376667691e-05
-0.00141414141414141,0.005,2.48826043655553e-05
-0.00101010101010101,0.005,2.53900539513958e-05
-0.000606060606060606,0.005,2.59167402732827e-05
-0.000202020202020202,0.005,2.64966897855987e-05
0.000202020202020202,0.005,2.71668219672587e-05
0.000606060606060606,0.005,2.79629223557685e-05
0.00101010101010101,0.005,2.89136994614503e-05
0.00141414141414141,0.005,3.00331143737663e-05
0.00181818181818182,0.005,3.13118425817891e-05
0.00222222222222222,0.005,3.2709422910405e-05
0.00262626262626263,0.005,3.4149162325685e-05
0.00303030303030303,0.005,3.55180892913134e-05
0.00343434343434343,0.005,3.66740982314299e-05
0.00383838383838384,0.005,3.74616298291537e-05
0.00424242424242424,0.005,3.77353434003644e-05
0.00464646464646465,0.005,3.73881669052404e-05
0.00505050505050505,0.005,3.63768095969655e-05
0.00545454545454545,0.005,3.47363029086516e-05
0.00585858585858586,0.005,3.25772459244297e-05
0.00626262626262626,0.005,3.00651122654649e-05
0.00666666666666667,0.005,2.73877272613247e-05
0.00707070707070707,0.005,2.47214435744693e-05
0.00747474747474748,0.005,2.22064935051686e-05
0.00787878787878788,0.005,1.99374471345483e-05
0.00828282828282828,0.005,1.79673813319151e-05
0.00868686868686869,0.005,1.63176577322291e-05
0.00909090909090909,0.005,1.49837340478679e-05
0.0094949494949495,0.005,1.39338532168181e-05
0.0098989898989899,0.005,1.31075071429445e-05
0.0103030303030303,0.005,1.24236221957872e-05
0.0107070707070707,0.005,1.17994840140932e-05
0.0111111111111111,0.005,1.11706514648739e-05
0.0115151515151515,0.005,1.05016716470111e-05
0.0119191919191919,0.005,9.78520536536332e-06
0.0123232323232323,0.005,9.03374349583701e-06
0.0127272727272727,0.005,8.26949650480362e-06
0.0131313131313131,0.005,7.51616902633928e-06
0.0135353535353535,0.005,6.79392626504231e-06
0.0139393939393939,0.005,6.11726154807829e-06
0.0143434343434343,0.005,5.49483859250759e-06
0.0147474747474747,0.005,4.93037457990176e-06
0.0151515151515152,0.005,4.42388508221234e-06
0.0155555555555556,0.005,3.97289674816373e-06
0.015959595959596,0.005,3.5734503707236e-06
0.0163636363636364,0.005,3.22084951435502e-06
0.0167676767676768,0.005,2.91017637727972e-06
0.0171717171717172,0.005,2.63662140067603e-06
0.0175757575757576,0.005,2.39567585082784e-06
0.017979797979798,0.005,2.18322972691705e-06
0.0183838383838384,0.005,1.99560776403733e-06
0.0187878787878788,0.005,1.82956722543483e-06
0.0191919191919192,0.005,1.68227378015189e-06
0.0195959595959596,0.005,1.55126621091321e-06
0.02,0.005,1.43441675077046e-06
